"protein_id","Apical_Buds_0h_R2","Apical_Buds_0h_R3","Apical_Buds_2h_R1","Apical_Buds_2h_R2","Apical_Buds_2h_R4","Axillary_Buds_0h_R1","Axillary_Buds_0h_R2","Axillary_Buds_0h_R3","Axillary_Buds_2h_R1","Axillary_Buds_2h_R2","Axillary_Buds_2h_R3"
"P05037",14.1547352845223,12.7575593916826,14.7873988122137,14.2745181488955,14.7504348561997,21.8283628798759,21.7931392171199,21.5394182062755,12.0093084776894,12.0093084776894,12.0531788982683
"P05039",12.9674296819748,11.5080990406325,13.1854099516295,12.8265184129832,13.0956879337251,21.6239548126238,21.4774066209194,21.4393165495615,10.9165775565168,10.9165775565168,11.0017048365264
"P05310",14.9583645311149,14.449064030424,16.2406999997335,15.2677708307607,15.6054998953756,22.4015893259538,21.9607998210029,22.2565001834126,11.7966101049275,11.7966101049275,11.8714480557042
"P05493",14.0921338895807,12.9973875203909,15.54413197802,14.6627024129459,15.5078993085394,24.1114462594238,23.6663655745017,23.9236263940753,14.0956360409501,14.0956360409501,14.120393165907
"P06004",13.944730457955,13.1112154284199,15.5110052938815,14.9944559027943,15.0981454745105,23.3666113783291,22.5851419148665,22.2281531750629,11.9900186114179,11.9900186114179,12.6765681650673
"P06006",14.4559256009982,13.2692803834797,15.4828801180397,14.8435874941534,15.3334040003437,22.1532167261497,21.9567052075763,24.7841231615641,13.2141505954849,13.2141505954849,12.6307400988315
"P06585",13.2057791395017,11.8201589417204,14.1773985644021,13.284919047795,14.0129048158825,22.508221838651,22.2949395773098,20.9451986886133,10.7851045943203,10.7851045943203,10.6198489032385
"P07371",15.3128498443756,14.1967330494296,16.4082693357979,15.6135101386177,15.9740289917945,24.5471220118094,25.4661519489752,24.1284981695082,13.111680489416,13.111680489416,13.9372180670014
"P08214",12.7636923616997,11.5755138539565,13.4066163413907,12.9763528946268,12.8073790325504,20.8920979282996,20.3405411251404,20.4452554598139,10.6408842816656,10.6408842816656,10.7742377892249
"P08215",14.2329008830832,13.1217592438487,15.1556005503048,14.3712288466622,15.0639343942177,22.6146523766798,22.4324645565359,22.6497544045669,11.6923996876211,11.6923996876211,12.0314251141427
"P08282",11.8981446718834,11.2550184885574,12.7812853334715,12.2138528639902,13.1412314268088,22.4476246945229,22.5291123880786,22.5222349360873,12.4756104313841,12.4756104313841,12.1037340775443
"P08926",13.5768510954839,12.315356997861,14.6047953502656,14.4260899389834,14.7020749636303,22.676120863081,22.9243289483884,23.1548372885296,12.2753979989182,12.2753979989182,11.991810856815
"P08927",12.4519329844036,11.3526037958789,13.0232834746156,12.7133432598089,13.2018665049715,22.9049282554465,22.4886503925229,22.6514304061087,11.4045959702251,11.4045959702251,11.1466096693491
"P10933",12.4063713621864,11.4007830503811,13.5030624445007,12.9263727055514,13.1115192866506,22.7127329808822,22.8748654759114,23.0633260007262,10.9569314489416,10.9569314489416,11.0458710700214
"P11891",11.6366246205436,10.7623820387104,11.1098306542788,NA,12.0681064758588,20.0863202622548,20.3675064696343,20.8692820633772,9.24792751344359,9.24792751344359,NA
"P11894",13.0220310058998,12.2794276093579,14.2192436252294,13.5214917345282,14.2303916374577,20.6799980633471,20.634608453944,21.5843124233889,11.0277805094446,11.0277805094446,11.3020136805739
"P11964",11.486856378759,10.1460327248584,10.9586086474865,10.8740278511222,11.8539552551182,23.9167608917702,24.4150738370304,24.3364718485142,12.6690375259106,12.6690375259106,11.5186994909984
"P12227",10.1548068516398,9.73371169719929,11.3698404572667,10.648593312108,11.1321688398693,19.699167229093,18.7661805556987,18.2330508238189,8.3640931284225,8.3640931284225,9.20476271858318
"P12858",13.5888977949193,12.3708520628091,14.9209124404782,14.1502301316782,14.4312268956384,21.4759392161215,21.687061389537,21.7401417980901,11.6046770263666,11.6046770263666,11.6227142664176
"P12859",14.1379952804432,12.9284307748775,14.8577764906093,14.3492603149544,14.5322086993009,21.996710543616,21.7672889396952,21.7820897590055,11.6346288175365,11.6346288175365,11.8585635844168
"P12886",10.4919187230402,9.82910588191103,11.9528066171593,11.6833986381522,12.0880506872665,21.4942017183855,21.8052968203727,21.7996975765877,11.2773824491213,11.2773824491213,11.2943181097111
"P13554",13.3944307231339,12.7280967584639,13.5272984744832,13.5906934403914,12.6316520422773,21.8916033821803,23.2966480606763,22.1879324999261,10.0309888015087,10.0309888015087,10.990809313219
"P13911",11.2400948434539,10.3654702353802,12.4792899441431,11.6237276092726,12.1549966406144,21.1489993600305,20.8544899075977,20.5382622506762,10.0649564244092,10.0649564244092,10.4863270215515
"P14226",14.2332814371443,12.8695579484743,14.4170774343626,14.3818536521035,14.4124499146464,21.9125219960892,22.0865433217723,21.9176533406371,11.4405395726541,11.4405395726541,11.6998645067551
"P16048",11.0589920388432,10.5153337678261,13.8435726159426,13.4254044709786,13.0459521933323,20.173990701065,21.9226359374002,21.6104742915053,11.6211090690511,11.6211090690511,12.8536985102507
"P16059",13.6316144590516,12.0131311303666,14.2392747160874,14.4167280792935,14.0965763478096,22.4118861091844,22.502221444065,22.8436428816494,11.6820410272611,11.6820410272611,12.2064602084402
"P16270",15.373001265866,14.5880651249371,16.98941153498,16.6134188616478,17.2153263873337,25.8316451033909,26.0384353291229,27.8735542161984,16.2023594433853,16.2023594433853,18.2804895768154
"P17067",14.092013840609,12.8465542957119,14.5578176666265,14.0209059632695,14.422650698327,19.106311487268,19.2507506673335,18.7769361057275,10.4563257166878,10.4563257166878,11.2613130835277
"P17092",13.4030806033752,12.2863815045516,14.5499839786106,13.6808431363289,14.3118143971004,22.8864451889267,24.2209336121811,24.4486246618009,11.1800816990351,11.1800816990351,12.0582113976819
"P21727",13.6780922763463,13.0383147462078,14.9616540936496,14.7928405010882,14.6291117335186,21.3660245925482,21.4670978065926,21.3389031039584,11.5855783933582,11.5855783933582,11.8172890307614
"P23408",11.2677410447965,10.4074977246698,11.7735718854413,11.1041648151921,12.2962525851105,20.5434356802272,20.3502882946572,20.1868604052235,10.3331553503106,10.3331553503106,10.6202198255075
"P25470",14.5523835180965,12.825740379044,16.3756906199957,15.3914602216683,16.034863843782,23.4828039740427,23.5934423280669,23.6780589734133,14.3840850170332,14.3840850170332,14.8322023099927
"P25794",12.1099119276874,11.0512775776982,14.0022475363433,13.0514220789344,13.8163900557803,20.3967900920444,20.9506219780329,21.6329268807242,11.8531361130691,11.8531361130691,12.6043032102095
"P25890",11.2071385938633,10.5019395360932,12.1541107850118,12.102281722593,12.0597481346268,21.0075488246951,21.3156579762655,21.1413428714656,10.8756801615533,10.8756801615533,10.6064851649826
"P26291",11.8903799787139,11.1185919036078,12.5796612861795,12.3226185947932,12.1999722475439,19.4659376499977,19.5370273113103,19.5527842274867,11.2138895354187,11.2138895354187,11.3447832930512
"P26969",12.2367396761859,11.2330756259437,13.0382452607178,12.6480355280837,12.8225794965652,20.8515238459949,20.7215261983228,20.5452920051377,11.2089685832472,11.2089685832472,11.0423022185046
"P27456",11.9153440583379,10.834436365901,12.8947745998209,12.6753824669895,13.0152840599033,21.7631530691071,21.8602929316321,21.7392460945306,11.0724016360327,11.0724016360327,11.282472633859
"P27520",14.0831406973369,12.8361069647271,14.8444914625551,13.9661559815374,14.6820596182557,21.5216399628471,22.1147732753672,21.9063142862934,11.0945334223405,11.0945334223405,14.1219381663318
"P28552",11.9021838866943,10.7772209068506,12.5175383658275,12.0969747013127,12.7238187484284,22.2644763807777,21.4755332382926,21.5240361465381,10.6515683736367,10.6515683736367,11.051043813353
"P28567",10.7421940641201,10.7375084697704,12.4292893010421,11.7125777661526,11.8794967406463,22.3218290294793,21.8210654751486,21.7905402065052,10.9209255962488,10.9209255962488,10.8720352456191
"P29450",11.3887795576049,9.97433727025799,11.5548957072292,11.4306030591,12.1835130802745,20.2877016825026,20.4130877477816,20.3968658557953,10.5992917633715,10.5992917633715,10.8553104725884
"P29500",11.3185516616381,10.1754448097672,12.8953783228503,12.3044256298794,12.2833425129158,20.7720985695467,20.6349483566815,20.4493983332905,11.3281534994177,11.3281534994177,11.3542836983411
"P29501",11.8436993898793,10.7418036350753,13.1589782631957,12.4771751852456,11.7255976535014,22.1632912303752,19.8059160751207,21.7193993648766,12.2631584038587,12.2631584038587,11.5026652097164
"P29502",11.8679616950387,10.5009439004933,12.8458826146587,12.4807097327932,12.3808937872425,22.5091554897072,21.8332013576436,21.705798490797,11.5773312442499,11.5773312442499,12.0087138381016
"P30124",11.4799291585761,10.4059581114134,12.4805619489103,11.8888301909865,12.4100435241726,21.6331051190424,21.4151455172276,21.4030618534064,9.6736405038884,9.6736405038884,10.0575986426958
"P30707",13.7692616572278,12.6144192297368,14.9911119428273,14.2282618925155,14.4818452141831,23.3617608153563,23.5029759311133,23.6280058212691,13.9973922562605,13.9973922562605,13.7705776456541
"P31023",11.3792705513836,10.5203307742401,12.691776031168,12.294514721385,12.5645550131501,21.8400884940842,21.9381986278567,21.8655278324729,11.4387684569755,11.4387684569755,11.0455278304807
"P31162",13.4658214556438,12.6668897084403,15.1536311941017,13.4817994316658,14.3637241181191,20.6120819721022,17.801117744518,20.4861083071432,10.1535520317081,10.1535520317081,10.7813597135247
"P31163",12.9530173712809,11.7797366472454,13.5226084468647,12.6591570213867,13.4228705285796,22.8549357058501,22.8214585822696,22.7891074574736,9.69309795298242,9.69309795298242,10.4418248691597
"P31165",11.8219969678574,11.0184623069459,13.2984226365783,12.3371532027544,13.0066876709275,22.3247603892506,21.8605142114321,21.9253397652174,10.1347364075891,10.1347364075891,9.98280548336746
"P34899",11.6715267684701,10.4195821792367,12.3961943175558,11.9978936861651,12.5435696417918,19.402152960333,19.7132061050515,19.9464236070537,10.0824070528358,10.0824070528358,10.5376932083401
"P35100",11.727063243515,10.9736823183222,13.0950103613946,12.4895765493687,12.7888260002885,21.5809712405944,22.1297163547079,21.5346805535436,10.6192223956108,10.6192223956108,10.4160090458507
"P36907",10.8497115948928,9.38289966382805,12.422693961268,12.0500611795245,11.7462014145665,20.5869478775806,20.7650092335485,20.6158487198723,11.3894843896995,11.3894843896995,10.8025849406638
"P37900",11.2688426777274,10.3748848407981,12.509051056859,12.3349971282788,12.7027936456268,22.7622403676591,23.2689546983203,22.6038550665007,11.5358281878147,11.5358281878147,11.6480415648551
"P40590",14.377535949608,13.6584057391795,15.8547826377856,16.3826350836626,16.0355857215375,27.7268127115557,27.8489452611941,27.7306310619608,14.6055021526463,14.6055021526463,14.3174517168909
"P42054",12.8345327532525,11.6444859093219,13.386344078761,13.0290922368215,13.731079805009,22.4646927866848,22.5957418625349,23.3898010234003,13.3789341792514,13.3789341792514,13.1165472562211
"P46258",12.1816718283643,11.2774714982593,13.5957030119882,13.0962966353462,13.8605716334936,21.4943951955579,21.0703468938502,21.1058306338821,11.1015469516949,11.1015469516949,10.8260773236045
"P46259",13.9901569424699,12.8393197748991,15.207630403569,14.6698127962885,14.3386327382667,24.5150097027519,23.9083889727378,23.6241109496466,12.8865590619905,12.8865590619905,13.0450820949499
"P46266",13.7424371582569,12.5493896180002,15.1329971274793,14.1650461802714,14.6789457962359,22.7421005749224,23.4073755020692,23.0731357712189,13.5485839211459,13.5485839211459,13.382177898926
"P46275",12.5399775327569,11.1781844439339,13.0634283400516,12.3787819730801,13.3676195291852,19.3529550480031,19.5532937056508,19.4066372412343,10.056290500301,10.056290500301,10.5114945878837
"P47922",14.448331943391,12.8944415772842,15.4615006143631,15.1120250164714,15.7618398414111,24.92890956109,24.9974478225956,26.6802745778296,14.1860555541582,14.1860555541582,14.0893485275863
"P48384",13.8036415929665,12.897438840419,14.5284701995255,14.4143708255643,14.4416565720542,22.3128223327102,22.7301477559763,22.7319822067325,13.3072872695529,13.3072872695529,12.4976250231579
"P48534",13.7865357074802,12.1844769110671,14.2832497469794,13.627001826935,14.5099604355215,22.338112489216,23.2396411620593,23.331262416528,13.7708001207232,13.7708001207232,13.6180036698032
"P49169",13.133259418012,11.9751483154708,14.0597279792853,12.8421247584767,13.7792030522639,22.4787017364558,22.6021832800465,22.7064931094549,10.5319529375611,10.5319529375611,11.2337096146718
"P49364",12.4861023263892,11.86804130094,13.2152183408031,12.8282511633576,13.1967955328153,21.4118970244492,21.4085639823362,22.3848069253742,11.4231031377808,11.4231031377808,11.221152077561
"P49612",12.3968357192537,11.332226808745,13.4480948426,13.1161558153366,13.3158349102619,21.8504097745554,20.8065087867454,21.2023514451433,11.2942186537067,11.2942186537067,11.7682617996376
"P51062",10.333235096926,9.73078876404562,11.7419367787912,10.6523252187377,11.612045679485,21.4662849728046,23.6682904456431,23.4186771667975,10.7787496237025,10.7787496237025,10.2023883065884
"P62788",16.4948598220059,15.6129028831816,18.583901870615,17.8725705216596,17.7211847245202,25.308474689467,25.1889900912733,25.3997879693248,15.4934529236111,15.4934529236111,16.6392353394102
"P68427",15.1534091661277,14.5916184214456,16.297277175776,16.6286878513795,15.5850588871684,22.4587815905677,22.6404827449991,23.2415668821752,14.6081940369452,14.6081940369452,14.2165605096481
"P81406",11.7982168123523,11.2858401351534,12.9473600262508,12.1733712594019,12.8467933993803,19.8304862461945,20.6991470501326,20.6491831273062,11.2554561683653,11.2554561683653,11.1064504180123
"P82340",12.1270270430046,11.3564519702218,12.9408641390496,12.4923539451599,12.9968265280207,20.9522856798624,21.1356138232576,21.2036297340881,9.29462074889163,9.29462074889163,9.59058704991503
"P93484",10.5748865309067,8.87958324961278,12.0308580599047,11.3779779988365,11.7871720321948,20.9605894602228,20.6049896945793,20.4904682309387,10.4747499157688,10.4747499157688,10.3818055718098
"P93486",13.1305705628054,11.025831668332,14.1758613835653,12.0886592001643,12.6654043597028,23.5334939927936,23.5487325372939,23.8014642264579,12.1452697087825,12.1452697087825,11.5921589276977
"Q00809",13.141398015652,11.5365470299572,14.2752070227152,13.6480804630407,14.5898435424226,22.8938453370069,22.933110503081,22.7615097602587,13.4854722978183,13.4854722978183,13.3431554899162
"Q01289",13.2221872463126,11.8694979422282,13.9130720843674,13.3436962967686,14.5707276174862,20.953722066388,19.6488391404121,20.3068426896869,10.6718533328356,10.6718533328356,11.093954810266
"Q01516",12.0007426754353,10.7269933785621,12.5365819696434,12.7153590456506,12.7475200311328,21.1360780406316,21.3153423838521,21.1210545663841,10.3272531189655,10.3272531189655,10.1777055782578
"Q01517",15.0974438958251,13.9004362427765,15.8800290014008,15.3407476934422,15.6998303983573,22.516278489164,22.6064158836769,22.6700878736742,12.576192019482,12.576192019482,12.6190323829394
"Q02028",12.8087873660458,11.7371074087219,13.620951473603,13.4101742293238,13.5160897413393,22.9485956334151,22.7378363724121,22.7791493750896,11.4659989774708,11.4659989774708,11.5245536342472
"Q02610",14.092209410228,12.4036464052073,13.2984374280241,12.7511712584662,13.1179781977416,26.3230063670222,27.1486732381332,26.941038917254,12.119699244247,12.119699244247,12.2612820356952
"Q02758",12.4508694874013,11.0035795514387,12.8839547324534,12.5361107467939,12.7738032141284,19.8851883972069,19.8804370545485,20.8693533584823,10.5561990341744,10.5561990341744,10.7406462341297
"Q03943",10.8991647373385,9.50881576491756,11.6343293507383,11.3024000984995,11.6903613538136,20.9231349699774,20.0964877004703,20.8147791376735,9.38735325679547,9.38735325679547,9.48083900033037
"Q04708",10.8667849308884,10.0212598512429,12.3779703097416,11.6576523106692,12.1368993195017,20.9742437296816,21.4224537525046,21.4849292333681,11.4114089618682,11.4114089618682,10.8498639177835
"Q06060",10.3274741925322,9.72437120491219,11.2855536063328,11.1987992054803,11.4675702435581,20.6923239339339,21.0922816880399,21.1099312099601,10.4165796237497,10.4165796237497,9.84628671292239
